ymdhm,rf,fw,wl
19970101,2.0,,
19970102,0.0,,
19970103,0.0,,
19970104,0.0,,
19970105,0.0,,
19970106,0.0,,
19970107,0.0,,
19970108,1.0,,
19970109,0.0,,
19970110,1.0,,
19970111,1.0,,
19970112,0.0,,
19970113,0.0,,
19970114,0.0,,
19970115,0.0,,
19970116,0.0,,
19970117,0.0,,
19970118,0.0,,
19970119,0.0,,
19970120,0.0,,
19970121,0.0,,
19970122,0.0,,
19970123,0.0,,
19970124,0.0,,
19970125,0.0,,
19970126,0.0,,
19970127,0.0,,
19970128,0.0,,
19970129,0.0,,
19970130,0.0,,
19970131,0.0,,
19970201,0.0,,
19970202,0.0,,
19970203,0.0,,
19970204,0.0,,
19970205,0.0,,
19970206,0.0,,
19970207,0.0,,
19970208,0.0,,
19970209,0.0,,
19970210,0.0,,
19970211,0.0,,
19970212,0.0,,
19970213,0.0,,
19970214,0.0,,
19970215,0.0,,
19970216,0.0,,
19970217,0.0,,
19970218,0.0,,
19970219,0.0,,
19970220,0.0,,
19970221,0.0,,
19970222,0.0,,
19970223,0.0,,
19970224,0.0,,
19970225,12.0,,
19970226,0.0,,
19970227,0.0,,
19970228,12.0,,
19970301,0.0,,
19970302,0.0,,
19970303,0.0,,
19970304,0.0,,
19970305,0.0,,
19970306,6.0,,
19970307,0.0,,
19970308,0.0,,
19970309,0.0,,
19970310,1.0,,
19970311,0.0,,
19970312,0.0,,
19970313,0.0,,
19970314,0.0,,
19970315,4.0,,
19970316,2.0,,
19970317,0.0,,
19970318,0.0,,
19970319,0.0,,
19970320,0.0,,
19970321,0.0,,
19970322,0.0,,
19970323,0.0,,
19970324,0.0,,
19970325,0.0,,
19970326,0.0,,
19970327,0.0,,
19970328,0.0,,
19970329,0.0,,
19970330,0.0,,
19970331,0.0,,
19970401,22.0,,
19970402,14.0,,
19970403,0.0,,
19970404,0.0,,
19970405,6.0,,
19970406,6.0,,
19970407,4.0,,
19970408,0.0,,
19970409,0.0,,
19970410,0.0,,
19970411,0.0,,
19970412,0.0,,
19970413,0.0,,
19970414,0.0,,
19970415,0.0,,
19970416,0.0,,
19970417,0.0,,
19970418,0.0,,
19970419,0.0,,
19970420,0.0,,
19970421,0.0,,
19970422,0.0,,
19970423,0.0,,
19970424,0.0,,
19970425,0.0,,
19970426,0.0,,
19970427,0.0,,
19970428,0.0,,
19970429,0.0,,
19970430,0.0,,
19970501,0.0,,
19970502,0.0,,
19970503,0.0,,
19970504,0.0,,
19970505,0.0,,
19970506,2.0,,
19970507,129.0,,
19970508,1.0,,
19970509,0.0,,
19970510,0.0,,
19970511,0.0,,
19970512,96.0,,
19970513,3.0,,
19970514,0.0,,
19970515,0.0,,
19970516,0.0,,
19970517,0.0,,
19970518,0.0,,
19970519,2.0,,
19970520,0.0,,
19970521,1.0,,
19970522,0.0,,
19970523,0.0,,
19970524,15.0,,
19970525,0.0,,
19970526,0.0,,
19970527,0.0,,
19970528,0.0,,
19970529,0.0,,
19970530,10.0,,
19970531,0.0,,
19970601,14.0,,
19970602,0.0,,
19970603,0.0,,
19970604,0.0,,
19970605,17.0,,
19970606,0.0,,
19970607,0.0,,
19970608,3.0,,
19970609,0.0,,
19970610,0.0,,
19970611,0.0,,
19970612,0.0,,
19970613,0.0,,
19970614,0.0,,
19970615,0.0,,
19970616,0.0,,
19970617,0.0,,
19970618,0.0,,
19970619,0.0,,
19970620,0.0,,
19970621,0.0,,
19970622,0.0,,
19970623,0.0,,
19970624,21.0,,
19970625,68.0,,
19970626,15.0,,
19970627,0.0,,
19970628,0.0,,
19970629,0.0,,
19970630,13.0,,
19970701,64.0,,
19970702,0.0,,
19970703,0.0,,
19970704,10.0,,
19970705,83.0,,
19970706,33.0,,
19970707,1.0,,
19970708,0.0,,
19970709,0.0,,
19970710,0.0,,
19970711,28.0,,
19970712,7.0,,
19970713,0.0,,
19970714,6.0,,
19970715,37.0,,
19970716,0.0,,
